ID_POLIZA;COBERTURA;COND_GENERAL;MONTO_ASEGURADO;PRIMA_PACTADA
POL0774;ASIS VEH SOLUC 2.0;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];250.0;0.15
POL0774;PLAN A: MUERTE ACCID;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];500.0;0.1
POL0774;RESPONSAB. CIVIL;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];1500.0;0.46
POL0774;ROBO, HURTO USO NO A;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;1.2
POL0774;ROBO DE ACCESORIOS;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;1.2
POL0774;DM HUELGA Y TERRORIS;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;DM ACTOS MALICIOSOS;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;DM GRANIZO;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;DM RIESGOS DE LA NAT;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;DM POR SISMO;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;INDEMNIZ. 0 KM;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.1
POL0774;AUTOREEMPLAZO 30DIAS;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.11
POL0774;DM POR LA PROPIA CAR;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;DM POR CONDUCTORES D;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;PLAN B: INCAPACIDAD;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.1
POL0774;DEFENSA PENAL Y CONS;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;TALLER DE MARCA;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.1
POL0774;R.C. POR COND. DEPEN;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;R.C. POR PROP.CARGA;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];0.0;0.2
POL0774;RC DAÑO MORAL;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];1500.0;0.46
POL0774;RC LUCRO CESANTE;['P120160325', 'P120140303', 'P320130366', 'P120130414', 'C120160326', 'C120160327', 'C120160328', 'C120160330', 'C120160329', 'C120160331', 'C120160332', 'C120160336', 'C120160335', 'C120130347', 'C120160080'];1500.0;0.46
POL0860;DAÑOS MATERIALES;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];526.0;7.28
POL0860;R CIVIL EMERGENTE;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];1000.0;1.2
POL0860;PLAN A: MUERTE ACCID;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];200.0;0.1
POL0860;ASISTENCIA VEHICULAR;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];250.0;0.25
POL0860;ROBO, HURTO USO NO A;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;1.2
POL0860;D TERCEROS POR LA CA;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;D TERCEROS CONDUCTOR;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;ROBO DE ACCESORIOS;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;DM HUELGA Y TERRORIS;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;DM ACTOS MALICIOSOS;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;DM RIESGOS DE LA NAT;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.2
POL0860;DM GRANIZO;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.2
POL0860;DM POR SISMO;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;DM POR LA PROPIA CAR;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;DM POR CONDUCTORES D;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;PLAN B: INCAPACIDAD;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;VDR 45 DIAS;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.4
POL0860;DM EN EL EXTRAJERO;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.1
POL0860;R CIVIL DAÑO MORAL;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];1000.0;0.1
POL0860;R CIVIL LUCRO CESANT;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];1000.0;0.1
POL0860;DEFENSA PENAL Y CONS;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];150.0;0.1
POL0860;EXCLUSIVIDAD GARAGE;['P120160325', 'P320130366', 'P120140303', 'C120160333', 'C120160337', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160332', 'C120160336', 'C120160334', 'C120160335'];0.0;0.01
POL0562;DAÑOS MATERIALES;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];747.0;40.12
POL0562;PLAN A: MUERTE ACCID;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];500.0;0.1
POL0562;ASIS VEH SOLUC 2.0;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];250.0;0.1
POL0562;RESPONSAB. CIVIL;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];500.0;1.0
POL0562;ROBO.HURTO, USO NO A;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;1.0
POL0562;ROBO DE ACC.HTA 10%;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;1.0
POL0562;HUELGA Y TERRORISMO;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;ACTOS MALICIOSOS;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;GRANIZO/ R.DE NATURA;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;SISMO;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;D.MAT. X LA CARGA;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;D.MAT. POR COND. DEP;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;PLAN B: INCAPACIDAD;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;R.C. POR COND. DEPEN;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;INDEMNIZ. 0 KM;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;R.C. POR PROP.CARGA;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;EXCLUSIVIDAD GARAGE;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;VDR 60DIAS;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];60.0;0.75
POL0562;D.MAT.EN EXTRANJERO;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];0.0;0.1
POL0562;DEF.PENAL Y CON. FZA;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];150.0;0.1
POL0562;RC DAÑO MORAL;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];500.0;0.1
POL0562;RC LUCRO CESANTE;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];500.0;0.1
POL0562;RESP.CIVIL EN EXCESO;['P120130214', 'P320130366', 'P120140303', 'P120130414', 'C120130335', 'C120130336', 'C120130337', 'C120130338', 'C120130340', 'C120130342', 'C120130346', 'C120130347', 'C120130345', 'C120130343', 'C120130344'];1000.0;0.63
POL0596;DAÑOS MATERIALES;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];244.0;10.43
POL0596;R CIVIL EMERGENTE;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];1500.0;1.2
POL0596;PLAN A: MUERTE ACCID;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];500.0;0.1
POL0596;AS VEH SOLMOVMAS2.0;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];250.0;0.18
POL0596;ROBO, HURTO USO NO A;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;1.2
POL0596;ROBO DE ACCESORIOS;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM HUELGA Y TERRORIS;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM ACTOS MALICIOSOS;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM RIESGOS DE LA NAT;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM GRANIZO;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM POR SISMO;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM POR CONDUCTORES D;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;D TERCEROS CONDUCTOR;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
POL0596;DM POR LA PROPIA CAR;['P120160325', 'P320130366', 'P120140303', 'C120160326', 'C120160327', 'C120160328', 'C120160329', 'C120160330', 'C120160331', 'C120160336', 'C120160337', 'C120160332', 'C120160333', 'C120160335'];0.0;0.1
